minutes,tide_height
487,6.57
937,-0.39
535,5.38
985,-1.74
585,5.26
1034,-1.36
635,4.13
1080,-1.15
688,3.48
1126,-1.61
742,2.62
1171,0.05
804,1.83
1216,1.01
202,3.57
1261,0.73
247,4.54
1306,2.17
290,3.76
718,2.88
331,3.9
776,1.92
368,4.73
825,1.74
407,5.66
865,0.79
442,5.33
900,-0.04
479,5.23
934,-1.12
514,6.67
968,-0.61
550,4.74
1001,-0.93
585,4.69
1032,-1.29
621,4.2
1065,0.22
657,3.68
1095,0.26
698,2.47
1128,0.36
745,2.59
1160,0.99
142,4.1
1192,1.87
178,3.17
1230,1.6
217,3.71
644,3.1
263,4.04
715,2.49
315,4.07
777,2.18
369,5.93
830,0.7
425,6.89
879,0.21
478,6.72
927,0.22
530,6.77
970,-1.68
580,5.77
1012,-1.32
630,4.35
1054,-0.73
679,4.23
1092,-0.38
730,2.24
1129,-0.61
92,3.45
1164,-0.46
133,4.13
1200,1.21
174,3.34
594,2.58
219,3.32
675,3.26
269,5.21
742,2.39
321,4.83
794,2.41
